match_id,season,grade,round_type,round,full_round,match_date,home_team_id,away_team_id,home_goals,away_goals,status
,2023,first_grade,regular,1,Round 1,2023-04-01 04:00:00,West Ryde Rovers FC,Epping Eastwood FC,0,4,complete
,2023,first_grade,regular,1,Round 1,2023-04-01 04:00:00,West Pennant Hills Cherrybrook FC,Hills Hawks FC,4,1,complete
,2023,first_grade,regular,1,Round 1,2023-04-01 04:00:00,Macquarie Dragons FC,Ryde Saints United FC,0,0,complete
,2023,first_grade,regular,1,Round 1,2023-04-01 04:00:00,Normanhurst Eagles FC,St Patrick's FC,4,2,complete
,2023,first_grade,regular,1,Round 1,2023-04-01 04:00:00,Pennant Hills FC,Eastwood St Andrews FC,4,0,complete
,2023,reserve_grade,regular,2,Round 2,2023-04-15 03:00:00,West Pennant Hills Cherrybrook FC,Epping Eastwood FC,3,1,complete
,2023,reserve_grade,regular,2,Round 2,2023-04-15 03:00:00,Ryde Saints United FC,West Ryde Rovers FC,0,1,complete
,2023,reserve_grade,regular,2,Round 2,2023-04-15 03:00:00,Hills Hawks FC,St Patrick's FC,2,0,complete
,2023,reserve_grade,regular,2,Round 2,2023-04-15 03:00:00,Eastwood St Andrews FC,Macquarie Dragons FC,0,1,complete
,2023,reserve_grade,regular,2,Round 2,2023-04-15 03:00:00,Normanhurst Eagles FC,Pennant Hills FC,1,2,complete
,2023,first_grade,regular,2,Round 2,2023-04-15 05:00:00,West Pennant Hills Cherrybrook FC,Epping Eastwood FC,6,0,complete
,2023,first_grade,regular,2,Round 2,2023-04-15 05:00:00,Ryde Saints United FC,West Ryde Rovers FC,1,1,complete
,2023,first_grade,regular,2,Round 2,2023-04-15 05:00:00,Hills Hawks FC,St Patrick's FC,2,2,complete
,2023,first_grade,regular,2,Round 2,2023-04-15 05:00:00,Eastwood St Andrews FC,Macquarie Dragons FC,3,3,complete
,2023,first_grade,regular,2,Round 2,2023-04-15 05:00:00,Normanhurst Eagles FC,Pennant Hills FC,2,2,complete
,2023,reserve_grade,regular,3,Round 3,2023-04-22 03:00:00,Epping Eastwood FC,Ryde Saints United FC,2,4,complete
,2023,reserve_grade,regular,3,Round 3,2023-04-22 03:00:00,St Patrick's FC,West Pennant Hills Cherrybrook FC,0,6,complete
,2023,reserve_grade,regular,3,Round 3,2023-04-22 03:00:00,West Ryde Rovers FC,Eastwood St Andrews FC,5,0,complete
,2023,reserve_grade,regular,3,Round 3,2023-04-22 03:00:00,Pennant Hills FC,Hills Hawks FC,4,1,complete
,2023,reserve_grade,regular,3,Round 3,2023-04-22 03:00:00,Macquarie Dragons FC,Normanhurst Eagles FC,3,2,complete
,2023,first_grade,regular,3,Round 3,2023-04-22 05:00:00,Epping Eastwood FC,Ryde Saints United FC,3,2,complete
,2023,first_grade,regular,3,Round 3,2023-04-22 05:00:00,St Patrick's FC,West Pennant Hills Cherrybrook FC,0,6,complete
,2023,first_grade,regular,3,Round 3,2023-04-22 05:00:00,West Ryde Rovers FC,Eastwood St Andrews FC,5,0,complete
,2023,first_grade,regular,3,Round 3,2023-04-22 05:00:00,Pennant Hills FC,Hills Hawks FC,1,1,complete
,2023,first_grade,regular,3,Round 3,2023-04-22 05:00:00,Macquarie Dragons FC,Normanhurst Eagles FC,2,1,complete
,2023,reserve_grade,regular,4,Round 4,2023-04-29 03:00:00,St Patrick's FC,Epping Eastwood FC,0,2,complete
,2023,reserve_grade,regular,4,Round 4,2023-04-29 03:00:00,Eastwood St Andrews FC,Ryde Saints United FC,1,0,complete
,2023,reserve_grade,regular,4,Round 4,2023-04-29 03:00:00,West Pennant Hills Cherrybrook FC,Pennant Hills FC,2,1,complete
,2023,reserve_grade,regular,4,Round 4,2023-04-29 03:00:00,Normanhurst Eagles FC,West Ryde Rovers FC,0,4,complete
,2023,reserve_grade,regular,4,Round 4,2023-04-29 03:00:00,Hills Hawks FC,Macquarie Dragons FC,0,0,complete
,2023,first_grade,regular,4,Round 4,2023-04-29 05:00:00,St Patrick's FC,Epping Eastwood FC,1,2,complete
,2023,first_grade,regular,4,Round 4,2023-04-29 05:00:00,Eastwood St Andrews FC,Ryde Saints United FC,2,3,complete
