K_SETTLED,HFA,ELO_TO_GOAL_RATIO,REGRESSION_FACTOR,MOV_C1,MOV_C2,USE_ADJ_RATES,brier
30,40,75,0.8,0.0005,1.5,True,0.5789508095299468
30,40,100,0.7,0.0005,1.5,False,0.5789535735165774
30,30,75,0.7,0.002,2.2,True,0.5789551743529414
25,30,75,0.8,0.002,3.0,False,0.5789585927561498
25,30,75,0.7,0.002,2.2,False,0.578961613020321
20,50,75,0.5,0.002,2.2,True,0.5789618347235296
20,40,100,0.8,0.002,2.2,True,0.5789631541818179
30,30,75,0.8,0.001,1.5,False,0.5789646268048126
20,50,100,0.8,0.001,2.2,False,0.578974514148663
25,30,75,0.7,0.001,2.2,False,0.5789772504983957
30,50,125,0.8,0.002,2.2,True,0.5789902195502675
25,30,75,0.7,0.0005,2.2,False,0.5789917172427805
20,40,75,0.7,0.002,1.5,True,0.5789918358336898
20,50,75,0.5,0.001,2.2,True,0.5790221264711233
25,30,75,0.8,0.0005,1.5,False,0.5790301216
30,40,100,0.7,0.001,2.2,True,0.5790315699352944
30,40,100,0.7,0.0005,2.2,True,0.5790328828144387
30,40,100,0.7,0.002,2.2,True,0.5790332147074864
25,40,75,0.7,0.002,1.5,True,0.5790343720454547
30,30,75,0.7,0.001,2.2,True,0.5790378592748663
20,50,125,0.8,0.001,1.5,True,0.5790401549497326
20,50,125,0.8,0.0005,1.5,True,0.5790437788401068
20,50,125,0.8,0.002,1.5,True,0.5790467553866306
20,50,75,0.5,0.0005,2.2,True,0.5790584369331546
20,50,75,0.5,0.0005,3.0,True,0.5790707480278077
20,50,75,0.5,0.001,3.0,True,0.5790752181144387
20,50,100,0.8,0.002,2.2,False,0.5790759290759364
20,50,75,0.5,0.002,3.0,True,0.5790877229561503
25,30,75,0.7,0.0005,3.0,True,0.579087884406952
30,30,75,0.7,0.0005,2.2,True,0.5790884561438502
25,30,75,0.7,0.001,3.0,True,0.5790887767283427
25,30,75,0.7,0.002,3.0,True,0.5790929688620319
25,50,125,0.8,0.0005,1.5,False,0.5791022318459893
25,30,75,0.7,0.002,2.2,True,0.5791026352775401
20,30,75,0.8,0.0005,1.5,False,0.5791040104812835
30,40,75,0.5,0.002,3.0,True,0.5791244547336903
20,50,75,0.7,0.0005,3.0,False,0.5791245761866309
30,40,75,0.5,0.001,3.0,True,0.5791345239459895
30,40,75,0.5,0.0005,3.0,True,0.5791418118957219
25,50,125,0.8,0.001,1.5,False,0.579146500804813
25,50,100,0.7,0.0005,2.2,False,0.5791539297802142
20,50,75,0.7,0.001,3.0,False,0.5791594937433153
25,30,75,0.7,0.001,2.2,True,0.579166140959893
25,40,100,0.7,0.002,1.5,False,0.5791883645668446
30,30,75,0.8,0.0005,1.5,False,0.5791901341935828
25,50,100,0.7,0.001,2.2,False,0.5791958014299464
25,40,100,0.7,0.001,1.5,False,0.5792035620700535
25,30,75,0.7,0.0005,2.2,True,0.5792047659935831
30,50,75,0.5,0.002,2.2,False,0.5792179500663102
25,40,100,0.7,0.0005,1.5,False,0.5792234841010697
30,40,75,0.7,0.002,1.5,True,0.5792244923802132
