match_id,season,round,home_team_id,away_team_id,home_elo_pre,away_elo_pre,prob_win,prob_draw,prob_loss,predicted_xg_home,predicted_xg_away,actual_home_goals,actual_away_goals,actual_outcome
,2023,12,Normanhurst Eagles FC,Macquarie Dragons FC,1546.39,1516.78,0.52107,0.18163,0.29731,2.693,2.057,1,1,0
,2023,13,Epping Eastwood FC,St Patrick's FC,1556.52,1446.9,0.6492,0.15084,0.19996,3.332,1.939,1,2,-1
,2023,13,Ryde Saints United FC,Eastwood St Andrews FC,1392.51,1419.7,0.47754,0.17511,0.34735,2.861,2.473,2,4,-1
,2023,13,Pennant Hills FC,West Pennant Hills Cherrybrook FC,1418.16,1727.92,0.05761,0.0822,0.86019,1.155,4.053,3,2,1
,2023,13,West Ryde Rovers FC,Normanhurst Eagles FC,1562.95,1543.99,0.47518,0.1808,0.34402,2.7,2.321,2,1,1
,2023,13,Macquarie Dragons FC,Hills Hawks FC,1519.18,1513.23,0.46225,0.17893,0.35882,2.735,2.432,3,3,0
,2023,14,Eastwood St Andrews FC,Epping Eastwood FC,1433.86,1540.06,0.2744,0.16133,0.56427,2.367,3.268,2,0,1
,2023,14,St Patrick's FC,Pennant Hills FC,1463.36,1436.54,0.48333,0.17848,0.33818,2.77,2.346,2,1,1
,2023,14,Normanhurst Eagles FC,Ryde Saints United FC,1533.87,1378.35,0.72218,0.13805,0.13977,3.291,1.498,2,1,1
,2023,14,West Pennant Hills Cherrybrook FC,Macquarie Dragons FC,1709.54,1517.57,0.79197,0.10966,0.09837,3.774,1.438,1,1,0
,2023,14,Hills Hawks FC,West Ryde Rovers FC,1514.84,1573.07,0.38683,0.17446,0.43871,2.662,2.818,5,1,1
,2023,15,Epping Eastwood FC,Pennant Hills FC,1524.22,1426.71,0.60769,0.16081,0.2315,3.159,2.02,2,1,1
,2023,15,Eastwood St Andrews FC,Normanhurst Eagles FC,1449.7,1539.49,0.27614,0.16835,0.55551,2.206,3.044,1,1,0
,2023,15,Macquarie Dragons FC,St Patrick's FC,1524.17,1473.18,0.56689,0.17016,0.26295,2.966,2.07,1,2,-1
,2023,15,Ryde Saints United FC,Hills Hawks FC,1372.73,1535.83,0.21484,0.1547,0.63045,2.003,3.283,1,2,-1
,2023,15,West Ryde Rovers FC,West Pennant Hills Cherrybrook FC,1552.08,1702.95,0.20239,0.14881,0.6488,2.013,3.416,0,0,0
,2023,16,Normanhurst Eagles FC,Epping Eastwood FC,1537.75,1531.56,0.4929,0.18042,0.32668,2.723,2.243,2,0,1
,2023,16,Pennant Hills FC,Macquarie Dragons FC,1419.37,1509.09,0.31758,0.17882,0.50361,2.23,2.77,4,2,1
,2023,16,Hills Hawks FC,Eastwood St Andrews FC,1543.64,1451.44,0.65458,0.14451,0.20091,3.562,2.104,0,1,-1
,2023,16,St Patrick's FC,West Ryde Rovers FC,1488.26,1555.75,0.34832,0.17701,0.47466,2.43,2.803,3,0,1
,2023,16,West Pennant Hills Cherrybrook FC,Ryde Saints United FC,1699.27,1364.92,0.92558,0.05054,0.02388,4.337,0.763,1,0,1
,2023,17,Epping Eastwood FC,Macquarie Dragons FC,1519.89,1493.75,0.49049,0.17775,0.33176,2.795,2.33,1,5,-1
,2023,17,Normanhurst Eagles FC,Hills Hawks FC,1549.42,1527.57,0.49302,0.17837,0.32861,2.779,2.299,0,0,0
,2023,17,West Ryde Rovers FC,Pennant Hills FC,1537.28,1434.71,0.60868,0.15979,0.23154,3.191,2.043,3,4,-1
,2023,17,Eastwood St Andrews FC,West Pennant Hills Cherrybrook FC,1467.51,1701.49,0.10909,0.11261,0.7783,1.569,3.837,2,1,1
,2023,17,Ryde Saints United FC,St Patrick's FC,1362.7,1506.73,0.2609,0.17049,0.56861,2.047,2.953,0,3,-1
,2023,18,Hills Hawks FC,Epping Eastwood FC,1529.71,1496.68,0.54319,0.16861,0.2882,3.053,2.285,0,5,-1
,2023,18,Macquarie Dragons FC,West Ryde Rovers FC,1516.96,1520.98,0.4722,0.17663,0.35117,2.811,2.453,4,3,1
,2023,18,West Pennant Hills Cherrybrook FC,Normanhurst Eagles FC,1684.18,1547.28,0.70211,0.14272,0.15517,3.281,1.601,2,1,1
,2023,18,Pennant Hills FC,Ryde Saints United FC,1451.01,1350.97,0.62133,0.15972,0.21895,3.143,1.931,5,1,1
,2023,18,St Patrick's FC,Eastwood St Andrews FC,1518.46,1484.82,0.5414,0.16861,0.28999,3.056,2.297,1,0,1
,2023,101,West Pennant Hills Cherrybrook FC,Epping Eastwood FC,1690.32,1522.85,0.75223,0.12291,0.12486,3.653,1.597,3,2,1
,2023,102,St Patrick's FC,Normanhurst Eagles FC,1528.03,1541.14,0.41767,0.18683,0.3955,2.448,2.385,1,0,1
,2023,104,Epping Eastwood FC,St Patrick's FC,1517.54,1539.43,0.42877,0.17985,0.39137,2.647,2.537,1,1,0
,2023,105,West Pennant Hills Cherrybrook FC,St Patrick's FC,1695.63,1540.07,0.73844,0.12911,0.13246,3.516,1.577,1,0,1
,2024,1,Putney Rangers FC,West Pennant Hills Cherrybrook FC,1500.0,1640.88,0.31531,0.14801,0.53668,3.122,3.878,2,2,0
,2024,1,Macquarie Dragons FC,Eastwood St Andrews FC,1519.59,1482.68,0.50961,0.15039,0.34,3.788,3.212,1,1,0
,2024,1,Epping Eastwood FC,North Ryde SC,1511.82,1500.0,0.48125,0.15221,0.36654,3.694,3.306,4,3,1
,2024,1,Normanhurst Eagles FC,Pennant Hills FC,1520.82,1473.88,0.52094,0.14947,0.32959,3.826,3.174,3,1,1
,2024,1,West Ryde Rovers FC,St Patrick's FC,1506.96,1524.11,0.44863,0.15344,0.39793,3.586,3.414,5,2,1
,2024,2,Eastwood St Andrews FC,West Ryde Rovers FC,1486.89,1532.6,0.29193,0.16214,0.54593,2.479,3.271,1,2,-1
